Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
AN1,101_1400,559142.1585,4104679.03,42.9,0.332514067,1.275,0.9,0.423955435,0.29926266,Soft,Mud,0
AN1,101_1400,559142.4985,4104679.027,42.9,0.339994577,1.275,0.9,0.433493085,0.305995119,Soft,Mud,0
AN1,101_1400,559142.8446,4104679.029,43,0.346060869,1.02,0.72,0.352982086,0.249163826,Soft,Mud,0
AN1,101_1400,559143.1968,4104679.033,43.1,0.352228892,1.19,0.84,0.419152382,0.295872269,Soft,Mud,0
AN1,101_1400,559143.5552,4104679.039,43.1,0.358412105,1.105,0.78,0.396045376,0.279561442,Soft,Mud,0
AN1,101_1400,559143.9201,4104679.045,43.2,0.364956617,1.02,0.72,0.37225575,0.262768764,Soft,Mud,0
AN1,101_1400,559144.2919,4104679.048,43.3,0.371871048,1.02,0.72,0.379308469,0.267747155,Soft,Mud,0
AN1,101_1400,559144.6711,4104679.046,43.3,0.379193926,0.935,0.66,0.354546321,0.250267991,Soft,Mud,0
AN1,101_1400,559145.058,4104679.039,43.2,0.386990617,0.935,0.66,0.361836227,0.255413807,Soft,Mud,0
AN1,101_1400,559145.4529,4104679.023,43.2,0.395144099,1.02,0.72,0.403046981,0.284503752,Soft,Mud,0
AN1,101_1400,559145.856,4104678.997,43.1,0.403971481,1.105,0.78,0.446388487,0.315097755,Soft,Mud,0
AN1,101_1400,559146.2649,4104678.962,43,0.410351266,1.19,0.84,0.488318007,0.344695064,Soft,Mud,0
AN1,101_1400,559146.6769,4104678.919,42.9,0.4142215,1.19,0.84,0.492923585,0.34794606,Soft,Mud,0
AN1,101_1400,559147.0921,4104678.868,42.8,0.418373219,1.02,0.72,0.426740684,0.301228718,Soft,Mud,0
AN1,101_1400,559147.5105,4104678.807,42.8,0.422840496,1.02,0.72,0.431297305,0.304445157,Soft,Mud,0
AN1,101_1400,559147.931,4104678.738,42.7,0.426147367,1.19,0.84,0.507115367,0.357963788,Soft,Mud,0
AN1,101_1400,559148.3522,4104678.66,42.8,0.428273823,1.19,0.84,0.509645849,0.359750011,Soft,Mud,0
AN1,101_1400,559148.7728,4104678.575,43.1,0.429147921,1.275,0.9,0.5471636,0.386233129,Soft,Mud,0
AN1,101_1400,559149.1915,4104678.483,43.2,0.428742269,1.275,0.9,0.546646394,0.385868043,Soft,Mud,0
AN1,101_1400,559149.6069,4104678.385,43.2,0.426864525,1.275,0.9,0.544252269,0.384178072,Soft,Mud,0
AN1,101_1400,559150.0175,4104678.281,43.2,0.423504238,1.275,0.9,0.539967904,0.381153814,Soft,Mud,0
AN1,101_1400,559150.4216,4104678.172,43.4,0.418581778,1.19,0.84,0.498112316,0.351608694,Soft,Mud,0
AN1,101_1400,559150.819,4104678.056,43.4,0.413993134,1.36,0.96,0.563030663,0.397433409,Soft,Mud,0
AN1,101_1400,559151.2097,4104677.932,43.3,0.409805782,1.36,0.96,0.557335864,0.393413551,Soft,Mud,0
AN1,101_1400,559151.5921,4104677.801,43.2,0.404186027,1.445,1.02,0.584048809,0.412269747,Soft,Mud,0
AN1,101_1400,559151.9646,4104677.664,43,0.396899236,1.445,1.02,0.573519395,0.40483722,Soft,Mud,0
AN1,101_1400,559152.327,4104677.522,42.9,0.389309182,1.53,1.08,0.595643048,0.420453916,Soft,Mud,0
AN1,101_1400,559152.6793,4104677.376,42.9,0.381371206,1.445,1.02,0.551081392,0.38899863,Soft,Mud,0
AN1,101_1400,559153.0212,4104677.226,42.8,0.373157712,1.53,1.08,0.570931299,0.403010329,Soft,Mud,0
AN1,101_1400,559153.3525,4104677.074,42.7,0.364644539,1.445,1.02,0.52691136,0.37193743,Soft,Mud,0
AN1,101_1400,559153.6734,4104676.92,42.7,0.35592887,1.36,0.96,0.484063263,0.341691715,Soft,Mud,0
