Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
MN2,90_900,539961.3482,4154503.584,36.7,0.275140475,1.445,1.02,0.397577986,0.280643284,Mixed,Rock-Mud,0
MN2,90_900,539961.3112,4154503.85,36.7,0.268418245,1.53,1.08,0.410679915,0.289891705,Mixed,Rock-Mud,0
MN2,90_900,539961.2908,4154504.112,36.8,0.262886566,1.615,1.14,0.424561804,0.299690685,Mixed,Rock-Mud,0
MN2,90_900,539961.2874,4154504.371,36.8,0.258681594,1.53,1.08,0.39578284,0.279376122,Mixed,Rock-Mud,0
MN2,90_900,539961.2979,4154504.628,36.8,0.257410748,1.445,1.02,0.371958531,0.262558963,Mixed,Rock-Mud,0
MN2,90_900,539961.3191,4154504.886,36.7,0.258588171,1.445,1.02,0.373659907,0.263759934,Mixed,Rock-Mud,0
MN2,90_900,539961.354,4154505.14,36.7,0.256661055,1.955,1.38,0.501772362,0.354192256,Mixed,Rock-Mud,0
MN2,90_900,539961.4051,4154505.387,36.7,0.252162974,1.87,1.32,0.471544762,0.332855126,Mixed,Rock-Mud,0
MN2,90_900,539961.4645,4154505.63,36.6,0.249920546,1.87,1.32,0.467351421,0.329895121,Mixed,Rock-Mud,0
MN2,90_900,539961.5241,4154505.872,36.5,0.249034343,1.7,1.2,0.423358383,0.298841212,Mixed,Rock-Mud,0
MN2,90_900,539961.5717,4154506.116,36.4,0.249268573,1.7,1.2,0.423756575,0.299122288,Mixed,Rock-Mud,0
MN2,90_900,539961.6192,4154506.361,36.6,0.249268573,1.7,1.2,0.423756574,0.299122288,Mixed,Rock-Mud,0
MN2,90_900,539961.6668,4154506.606,36.7,0.249268574,1.785,1.26,0.444944404,0.314078403,Mixed,Rock-Mud,0
MN2,90_900,539961.7143,4154506.85,36.8,0.249268573,1.785,1.26,0.444944403,0.314078402,Mixed,Rock-Mud,0
MN2,90_900,539961.7619,4154507.095,36.8,0.249268573,1.785,1.26,0.444944404,0.314078403,Mixed,Rock-Mud,0
MN2,90_900,539961.8094,4154507.34,36.8,0.249268573,1.785,1.26,0.444944403,0.314078402,Mixed,Rock-Mud,0
MN2,90_900,539961.8569,4154507.584,36.8,0.249268573,1.7,1.2,0.423756574,0.299122288,Mixed,Rock-Mud,0
MN2,90_900,539961.9045,4154507.829,36.5,0.249268574,1.87,1.32,0.466132233,0.329034518,Mixed,Rock-Mud,0
MN2,90_900,539961.952,4154508.074,36.4,0.249268573,1.87,1.32,0.466132231,0.329034516,Mixed,Rock-Mud,0
MN2,90_900,539961.9996,4154508.318,36.5,0.249268573,1.87,1.32,0.466132231,0.329034516,Hard,Rock,0
MN2,90_900,539962.0471,4154508.563,36.5,0.249268573,1.785,1.26,0.444944403,0.314078402,Hard,Rock,0
MN2,90_900,539962.0946,4154508.808,36.5,0.249268573,1.7,1.2,0.423756574,0.299122288,Hard,Rock,0
MN2,90_900,539962.1422,4154509.053,36.6,0.249268573,1.7,1.2,0.423756574,0.299122288,Hard,Rock,0
MN2,90_900,539962.1897,4154509.297,36.7,0.249268573,1.955,1.38,0.48732006,0.343990631,Hard,Rock,0
MN2,90_900,539962.2373,4154509.542,36.6,0.249268573,1.955,1.38,0.48732006,0.343990631,Hard,Rock,0
MN2,90_900,539962.2848,4154509.787,36.7,0.249268573,2.21,1.56,0.550883546,0.388858974,Hard,Rock,0
MN2,90_900,539962.3324,4154510.031,36.7,0.249268573,2.125,1.5,0.529695719,0.37390286,Hard,Rock,0
MN2,90_900,539962.3799,4154510.276,36.7,0.249268574,2.125,1.5,0.529695719,0.373902861,Hard,Rock,0
MN2,90_900,539962.4274,4154510.521,36.6,0.249268573,1.7,1.2,0.423756575,0.299122288,Hard,Rock,0
MN2,90_900,539962.475,4154510.765,36.7,0.249268574,1.53,1.08,0.381380918,0.26921006,Hard,Rock,0
MN2,90_900,539962.5225,4154511.01,36.8,0.249268573,1.445,1.02,0.360193088,0.254253944,Hard,Rock,0
MN2,90_900,539962.5719,4154511.253,36.7,0.248135616,1.445,1.02,0.358555965,0.253098328,Hard,Rock,0
MN2,90_900,539962.6166,4154511.495,36.6,0.245712592,1.275,0.9,0.313283555,0.221141333,Hard,Rock,0
MN2,90_900,539962.6568,4154511.735,36.8,0.243360948,1.275,0.9,0.310285209,0.219024853,Hard,Rock,0
MN2,90_900,539962.6925,4154511.973,36.8,0.241082774,1.275,0.9,0.307380537,0.216974497,Hard,Rock,0
MN2,90_900,539962.7236,4154512.21,37,0.238880174,1.36,0.96,0.324877037,0.229324967,Hard,Rock,0
MN2,90_900,539962.7502,4154512.445,37,0.236755255,1.445,1.02,0.342111344,0.24149036,Hard,Rock,0
MN2,90_900,539962.7722,4154512.679,36.9,0.234710127,1.445,1.02,0.339156133,0.23940433,Hard,Rock,0
MN2,90_900,539962.7883,4154512.911,37,0.231997218,1.615,1.14,0.374675507,0.264476829,Hard,Rock,0
MN2,90_900,539962.8025,4154513.139,36.8,0.229305103,1.785,1.26,0.409309609,0.28892443,Mixed,Rock-Mud,0
MN2,90_900,539962.8122,4154513.367,36.8,0.227428756,1.785,1.26,0.405960329,0.286560232,Mixed,Rock-Mud,0
MN2,90_900,539962.8133,4154513.593,36.9,0.226117573,1.615,1.14,0.36517988,0.257774033,Mixed,Rock-Mud,0
